sporulation;oiv;densite_sporulation;experiment;ligne;image_name;surface_necrosee;colonne;sheet;necrose;taille_necrose
1.0;5.0;7.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P29;;2.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P29;5.0;3.0;4dpi;1.0;3.0
1.0;3.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P29;;3.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P29;5.0;3.0;4dpi;1.0;3.0
1.0;7.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P29;;4.0;4dpi;0.0;
1.0;7.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P29;;4.0;4dpi;0.0;
1.0;5.0;3.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P29;;4.0;4dpi;0.0;
0.0;9.0;;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P30;9.0;1.0;4dpi;1.0;9.0
1.0;3.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P30;;1.0;4dpi;0.0;
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P30;;1.0;4dpi;0.0;
1.0;7.0;7.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P31;5.0;1.0;4dpi;1.0;5.0
1.0;5.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P31;5.0;1.0;4dpi;1.0;3.0
1.0;3.0;3.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P31;;1.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P31;;2.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P31;;2.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P31;5.0;2.0;4dpi;1.0;1.0
0.0;9.0;;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P31;5.0;3.0;4dpi;1.0;5.0
1.0;5.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P31;5.0;3.0;4dpi;1.0;5.0
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P31;;3.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P31;7.0;4.0;4dpi;1.0;7.0
1.0;7.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P31;;4.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P31;;4.0;4dpi;0.0;
1.0;7.0;7.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P32;7.0;1.0;4dpi;1.0;5.0
1.0;5.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P32;;1.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P32;;1.0;4dpi;0.0;
1.0;7.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P32;;2.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P32;5.0;2.0;4dpi;1.0;7.0
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P32;7.0;2.0;4dpi;1.0;5.0
1.0;5.0;3.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P32;;3.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P32;;3.0;4dpi;0.0;
1.0;7.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P32;5.0;3.0;4dpi;1.0;3.0
